O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	Date	Domain Source
11-1011.00	1.B.3.ak	Office Work	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.ak	Office Work	OI	2.00	05/2026	AI/Expert
11-1011.00	1.B.3.al	Management/Administration	DS	1.00	05/2026	AI/Expert
11-1011.00	1.B.3.al	Management/Administration	OI	6.86	05/2026	AI/Expert
11-1011.00	1.B.3.am	Public Speaking	DS	4.00	05/2026	AI/Expert
11-1011.00	1.B.3.am	Public Speaking	OI	5.14	05/2026	AI/Expert
11-1011.00	1.B.3.an	Politics	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.an	Politics	OI	3.76	05/2026	AI/Expert
11-1011.00	1.B.3.ao	Law	DS	0.00	05/2026	AI/Expert
11-1011.00	1.B.3.ao	Law	OI	3.09	05/2026	AI/Expert
11-1021.00	1.B.3.a	Mechanics/Electronics	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.a	Mechanics/Electronics	OI	1.23	05/2026	AI/Expert
11-1021.00	1.B.3.b	Construction/Woodwork	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.b	Construction/Woodwork	OI	1.25	05/2026	AI/Expert
11-1021.00	1.B.3.c	Transportation/Machine Operation	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.c	Transportation/Machine Operation	OI	1.36	05/2026	AI/Expert
11-1021.00	1.B.3.d	Physical/Manual Labor	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.d	Physical/Manual Labor	OI	1.10	05/2026	AI/Expert
11-1021.00	1.B.3.e	Protective Service	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.e	Protective Service	OI	1.24	05/2026	AI/Expert
11-1021.00	1.B.3.f	Agriculture	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.f	Agriculture	OI	1.30	05/2026	AI/Expert
11-1021.00	1.B.3.g	Nature/Outdoors	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.g	Nature/Outdoors	OI	1.13	05/2026	AI/Expert
11-1021.00	1.B.3.h	Animal Service	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.h	Animal Service	OI	1.22	05/2026	AI/Expert
11-1021.00	1.B.3.i	Athletics	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.i	Athletics	OI	1.17	05/2026	AI/Expert
11-1021.00	1.B.3.j	Engineering	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.j	Engineering	OI	1.32	05/2026	AI/Expert
11-1021.00	1.B.3.k	Physical Science	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.k	Physical Science	OI	1.07	05/2026	AI/Expert
11-1021.00	1.B.3.l	Life Science	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.l	Life Science	OI	1.15	05/2026	AI/Expert
11-1021.00	1.B.3.m	Medical Science	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.m	Medical Science	OI	1.08	05/2026	AI/Expert
11-1021.00	1.B.3.n	Social Science	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.n	Social Science	OI	1.49	05/2026	AI/Expert
11-1021.00	1.B.3.o	Humanities	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.o	Humanities	OI	1.19	05/2026	AI/Expert
11-1021.00	1.B.3.p	Mathematics/Statistics	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.p	Mathematics/Statistics	OI	1.91	05/2026	AI/Expert
11-1021.00	1.B.3.q	Information Technology	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.q	Information Technology	OI	1.95	05/2026	AI/Expert
11-1021.00	1.B.3.r	Visual Arts	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.r	Visual Arts	OI	1.07	05/2026	AI/Expert
11-1021.00	1.B.3.s	Applied Arts and Design	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.s	Applied Arts and Design	OI	1.16	05/2026	AI/Expert
11-1021.00	1.B.3.t	Performing Arts	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.t	Performing Arts	OI	1.02	05/2026	AI/Expert
11-1021.00	1.B.3.u	Music	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.u	Music	OI	1.07	05/2026	AI/Expert
11-1021.00	1.B.3.v	Creative Writing	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.v	Creative Writing	OI	1.14	05/2026	AI/Expert
11-1021.00	1.B.3.w	Media	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.w	Media	OI	1.33	05/2026	AI/Expert
11-1021.00	1.B.3.x	Culinary Art	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.x	Culinary Art	OI	1.85	05/2026	AI/Expert
11-1021.00	1.B.3.y	Teaching/Education	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.y	Teaching/Education	OI	1.75	05/2026	AI/Expert
11-1021.00	1.B.3.z	Social Service	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.z	Social Service	OI	1.31	05/2026	AI/Expert
11-1021.00	1.B.3.aa	Health Care Service	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.aa	Health Care Service	OI	1.69	05/2026	AI/Expert
11-1021.00	1.B.3.ab	Religious Activities	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.ab	Religious Activities	OI	1.04	05/2026	AI/Expert
11-1021.00	1.B.3.ac	Personal Service	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.ac	Personal Service	OI	2.24	05/2026	AI/Expert
11-1021.00	1.B.3.ad	Professional Advising	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.ad	Professional Advising	OI	1.97	05/2026	AI/Expert
11-1021.00	1.B.3.ae	Business Initiatives	DS	2.00	05/2026	AI/Expert
11-1021.00	1.B.3.ae	Business Initiatives	OI	6.03	05/2026	AI/Expert
11-1021.00	1.B.3.af	Sales	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.af	Sales	OI	3.34	05/2026	AI/Expert
11-1021.00	1.B.3.ag	Marketing/Advertising	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.ag	Marketing/Advertising	OI	2.70	05/2026	AI/Expert
11-1021.00	1.B.3.ah	Finance	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.ah	Finance	OI	3.75	05/2026	AI/Expert
11-1021.00	1.B.3.ai	Accounting	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.ai	Accounting	OI	3.83	05/2026	AI/Expert
11-1021.00	1.B.3.aj	Human Resources	DS	3.00	05/2026	AI/Expert
11-1021.00	1.B.3.aj	Human Resources	OI	3.86	05/2026	AI/Expert
11-1021.00	1.B.3.ak	Office Work	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.ak	Office Work	OI	2.74	05/2026	AI/Expert
11-1021.00	1.B.3.al	Management/Administration	DS	1.00	05/2026	AI/Expert
11-1021.00	1.B.3.al	Management/Administration	OI	6.86	05/2026	AI/Expert
11-1021.00	1.B.3.am	Public Speaking	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.am	Public Speaking	OI	3.57	05/2026	AI/Expert
11-1021.00	1.B.3.an	Politics	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.an	Politics	OI	2.09	05/2026	AI/Expert
11-1021.00	1.B.3.ao	Law	DS	0.00	05/2026	AI/Expert
11-1021.00	1.B.3.ao	Law	OI	1.69	05/2026	AI/Expert
11-1031.00	1.B.3.a	Mechanics/Electronics	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.a	Mechanics/Electronics	OI	1.00	05/2026	AI/Expert
11-1031.00	1.B.3.b	Construction/Woodwork	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.b	Construction/Woodwork	OI	1.00	05/2026	AI/Expert
11-1031.00	1.B.3.c	Transportation/Machine Operation	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.c	Transportation/Machine Operation	OI	1.00	05/2026	AI/Expert
11-1031.00	1.B.3.d	Physical/Manual Labor	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.d	Physical/Manual Labor	OI	1.00	05/2026	AI/Expert
11-1031.00	1.B.3.e	Protective Service	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.e	Protective Service	OI	1.32	05/2026	AI/Expert
11-1031.00	1.B.3.f	Agriculture	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.f	Agriculture	OI	1.13	05/2026	AI/Expert
11-1031.00	1.B.3.g	Nature/Outdoors	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.g	Nature/Outdoors	OI	1.25	05/2026	AI/Expert
11-1031.00	1.B.3.h	Animal Service	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.h	Animal Service	OI	1.07	05/2026	AI/Expert
11-1031.00	1.B.3.i	Athletics	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.i	Athletics	OI	1.09	05/2026	AI/Expert
11-1031.00	1.B.3.j	Engineering	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.j	Engineering	OI	1.06	05/2026	AI/Expert
11-1031.00	1.B.3.k	Physical Science	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.k	Physical Science	OI	1.16	05/2026	AI/Expert
11-1031.00	1.B.3.l	Life Science	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.l	Life Science	OI	1.18	05/2026	AI/Expert
11-1031.00	1.B.3.m	Medical Science	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.m	Medical Science	OI	1.30	05/2026	AI/Expert
11-1031.00	1.B.3.n	Social Science	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.n	Social Science	OI	3.36	05/2026	AI/Expert
11-1031.00	1.B.3.o	Humanities	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.o	Humanities	OI	2.51	05/2026	AI/Expert
11-1031.00	1.B.3.p	Mathematics/Statistics	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.p	Mathematics/Statistics	OI	1.65	05/2026	AI/Expert
11-1031.00	1.B.3.q	Information Technology	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.q	Information Technology	OI	1.27	05/2026	AI/Expert
11-1031.00	1.B.3.r	Visual Arts	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.r	Visual Arts	OI	1.16	05/2026	AI/Expert
11-1031.00	1.B.3.s	Applied Arts and Design	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.s	Applied Arts and Design	OI	1.13	05/2026	AI/Expert
11-1031.00	1.B.3.t	Performing Arts	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.t	Performing Arts	OI	1.22	05/2026	AI/Expert
11-1031.00	1.B.3.u	Music	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.u	Music	OI	1.04	05/2026	AI/Expert
11-1031.00	1.B.3.v	Creative Writing	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.v	Creative Writing	OI	1.67	05/2026	AI/Expert
11-1031.00	1.B.3.w	Media	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.w	Media	OI	2.77	05/2026	AI/Expert
11-1031.00	1.B.3.x	Culinary Art	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.x	Culinary Art	OI	1.04	05/2026	AI/Expert
11-1031.00	1.B.3.y	Teaching/Education	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.y	Teaching/Education	OI	2.09	05/2026	AI/Expert
11-1031.00	1.B.3.z	Social Service	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.z	Social Service	OI	3.00	05/2026	AI/Expert
11-1031.00	1.B.3.aa	Health Care Service	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.aa	Health Care Service	OI	1.19	05/2026	AI/Expert
11-1031.00	1.B.3.ab	Religious Activities	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.ab	Religious Activities	OI	1.15	05/2026	AI/Expert
11-1031.00	1.B.3.ac	Personal Service	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.ac	Personal Service	OI	1.94	05/2026	AI/Expert
11-1031.00	1.B.3.ad	Professional Advising	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.ad	Professional Advising	OI	2.27	05/2026	AI/Expert
11-1031.00	1.B.3.ae	Business Initiatives	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.ae	Business Initiatives	OI	3.98	05/2026	AI/Expert
11-1031.00	1.B.3.af	Sales	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.af	Sales	OI	2.01	05/2026	AI/Expert
11-1031.00	1.B.3.ag	Marketing/Advertising	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.ag	Marketing/Advertising	OI	2.77	05/2026	AI/Expert
11-1031.00	1.B.3.ah	Finance	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.ah	Finance	OI	2.61	05/2026	AI/Expert
11-1031.00	1.B.3.ai	Accounting	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.ai	Accounting	OI	2.21	05/2026	AI/Expert
11-1031.00	1.B.3.aj	Human Resources	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.aj	Human Resources	OI	2.07	05/2026	AI/Expert
11-1031.00	1.B.3.ak	Office Work	DS	0.00	05/2026	AI/Expert
11-1031.00	1.B.3.ak	Office Work	OI	2.37	05/2026	AI/Expert
11-1031.00	1.B.3.al	Management/Administration	DS	4.00	05/2026	AI/Expert
11-1031.00	1.B.3.al	Management/Administration	OI	5.14	05/2026	AI/Expert
11-1031.00	1.B.3.am	Public Speaking	DS	2.00	05/2026	AI/Expert
11-1031.00	1.B.3.am	Public Speaking	OI	6.13	05/2026	AI/Expert
11-1031.00	1.B.3.an	Politics	DS	1.00	05/2026	AI/Expert
11-1031.00	1.B.3.an	Politics	OI	7.00	05/2026	AI/Expert
11-1031.00	1.B.3.ao	Law	DS	3.00	05/2026	AI/Expert
11-1031.00	1.B.3.ao	Law	OI	5.50	05/2026	AI/Expert
11-2011.00	1.B.3.a	Mechanics/Electronics	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.a	Mechanics/Electronics	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.b	Construction/Woodwork	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.b	Construction/Woodwork	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.c	Transportation/Machine Operation	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.c	Transportation/Machine Operation	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.d	Physical/Manual Labor	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.d	Physical/Manual Labor	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.e	Protective Service	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.e	Protective Service	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.f	Agriculture	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.f	Agriculture	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.g	Nature/Outdoors	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.g	Nature/Outdoors	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.h	Animal Service	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.h	Animal Service	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.i	Athletics	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.i	Athletics	OI	1.17	05/2026	AI/Expert
11-2011.00	1.B.3.j	Engineering	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.j	Engineering	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.k	Physical Science	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.k	Physical Science	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.l	Life Science	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.l	Life Science	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.m	Medical Science	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.m	Medical Science	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.n	Social Science	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.n	Social Science	OI	2.02	05/2026	AI/Expert
11-2011.00	1.B.3.o	Humanities	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.o	Humanities	OI	1.90	05/2026	AI/Expert
11-2011.00	1.B.3.p	Mathematics/Statistics	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.p	Mathematics/Statistics	OI	1.73	05/2026	AI/Expert
11-2011.00	1.B.3.q	Information Technology	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.q	Information Technology	OI	1.83	05/2026	AI/Expert
11-2011.00	1.B.3.r	Visual Arts	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.r	Visual Arts	OI	2.93	05/2026	AI/Expert
11-2011.00	1.B.3.s	Applied Arts and Design	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.s	Applied Arts and Design	OI	3.35	05/2026	AI/Expert
11-2011.00	1.B.3.t	Performing Arts	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.t	Performing Arts	OI	1.80	05/2026	AI/Expert
11-2011.00	1.B.3.u	Music	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.u	Music	OI	1.52	05/2026	AI/Expert
11-2011.00	1.B.3.v	Creative Writing	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.v	Creative Writing	OI	3.65	05/2026	AI/Expert
11-2011.00	1.B.3.w	Media	DS	4.00	05/2026	AI/Expert
11-2011.00	1.B.3.w	Media	OI	5.00	05/2026	AI/Expert
11-2011.00	1.B.3.x	Culinary Art	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.x	Culinary Art	OI	1.27	05/2026	AI/Expert
11-2011.00	1.B.3.y	Teaching/Education	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.y	Teaching/Education	OI	1.66	05/2026	AI/Expert
11-2011.00	1.B.3.z	Social Service	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.z	Social Service	OI	1.19	05/2026	AI/Expert
11-2011.00	1.B.3.aa	Health Care Service	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.aa	Health Care Service	OI	1.06	05/2026	AI/Expert
11-2011.00	1.B.3.ab	Religious Activities	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.ab	Religious Activities	OI	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.ac	Personal Service	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.ac	Personal Service	OI	1.81	05/2026	AI/Expert
11-2011.00	1.B.3.ad	Professional Advising	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.ad	Professional Advising	OI	1.66	05/2026	AI/Expert
11-2011.00	1.B.3.ae	Business Initiatives	DS	3.00	05/2026	AI/Expert
11-2011.00	1.B.3.ae	Business Initiatives	OI	5.97	05/2026	AI/Expert
11-2011.00	1.B.3.af	Sales	DS	5.00	05/2026	AI/Expert
11-2011.00	1.B.3.af	Sales	OI	4.99	05/2026	AI/Expert
11-2011.00	1.B.3.ag	Marketing/Advertising	DS	1.00	05/2026	AI/Expert
11-2011.00	1.B.3.ag	Marketing/Advertising	OI	6.86	05/2026	AI/Expert
11-2011.00	1.B.3.ah	Finance	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.ah	Finance	OI	2.34	05/2026	AI/Expert
11-2011.00	1.B.3.ai	Accounting	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.ai	Accounting	OI	2.42	05/2026	AI/Expert
11-2011.00	1.B.3.aj	Human Resources	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.aj	Human Resources	OI	1.78	05/2026	AI/Expert
11-2011.00	1.B.3.ak	Office Work	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.ak	Office Work	OI	2.60	05/2026	AI/Expert
11-2011.00	1.B.3.al	Management/Administration	DS	2.00	05/2026	AI/Expert
11-2011.00	1.B.3.al	Management/Administration	OI	6.19	05/2026	AI/Expert
11-2011.00	1.B.3.am	Public Speaking	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.am	Public Speaking	OI	3.98	05/2026	AI/Expert
11-2011.00	1.B.3.an	Politics	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.an	Politics	OI	1.87	05/2026	AI/Expert
11-2011.00	1.B.3.ao	Law	DS	0.00	05/2026	AI/Expert
11-2011.00	1.B.3.ao	Law	OI	1.44	05/2026	AI/Expert
11-2021.00	1.B.3.a	Mechanics/Electronics	DS	0.00	05/2026	AI/Expert
11-2021.00	1.B.3.a	Mechanics/Electronics	OI	1.03	05/2026	AI/Expert
11-2021.00	1.B.3.b	Construction/Woodwork	DS	0.00	05/2026	AI/Expert
11-2021.00	1.B.3.b	Construction/Woodwork	OI	1.00	05/2026	AI/Expert
11-2021.00	1.B.3.c	Transportation/Machine Operation	DS	0.00	05/2026	AI/Expert
11-2021.00	1.B.3.c	Transportation/Machine Operation	OI	1.00	05/2026	AI/Expert
11-2021.00	1.B.3.d	Physical/Manual Labor	DS	0.00	05/2026	AI/Expert
11-2021.00	1.B.3.d	Physical/Manual Labor	OI	1.00	05/2026	AI/Expert
11-2021.00	1.B.3.e	Protective Service	DS	0.00	05/2026	AI/Expert
11-2021.00	1.B.3.e	Protective Service	OI	1.00	05/2026	AI/Expert
11-2021.00	1.B.3.f	Agriculture	DS	0.00	05/2026	AI/Expert
